Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,gpqa_reasoning_tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
o3-mini (high) 01/01/2025,,,Proprietary,200k,,66,80%,77%,12%,73%,40%,84%,99%,86%,,,,,,,,183.2,115.8,165.6,210.5,271.2,42.4,42.4,21.73,32.15,50.09,78.87,45.13,0.0,,ModelProviders,01/01/2025,,,,,,,,410883.0,12231480.0,77%,8.0,,,,,,,,,,,,,,,,,,,,,23715.0,213135.0,,,40%,,,,65016,4697771,,,8.0,,,,,,76.90%,,76.90%,507246,886.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FMjx6vYbgAb2DHXK8xcupX8.eval,,,,1.1,4.4,6.7838104125,1.9250000000000003
Claude 4.1 Opus (Option 2)  08/01/2025,,Anthropic,Proprietary,,,4900.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,64050.0,725020.0,76.80%,1.0,,,298782.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F3obcsGCfuwYeEm9wRyqzPg.eval,,,,,,,,,,,,,,,,,,,1.5,18.75,using 5m cache read,,,,,,,,,,,,,,,,,,,,,15.0,75.0,55.33725,30.0
Claude 3.7 Sonnet Thinking (Option 3) (AIME) 03/01/2025,,,Proprietary,200k,,57,84%,77%,10%,47%,40%,,95%,49%,,,,,,,,,,,,,,,,,,,,,True,ModelProviders,03/01/2025,,,,,,,,64050.0,1650000.0,76.80%,1.0,,,,,,assume thinking since reasoning tokens mentiond in inspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,10313,665184,,,,46.70%,,46.70%,43497,138.0,flashi2.0,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F64LAJymM6eXDkRZb92Mdg8.eval,,,,3.0,15.0,24.94215,6.0
Claude 3.7 Sonnet Thinking (Option 4) (AIME) 03/01/2025,,,Proprietary,200k,,57,84%,77%,10%,47%,40%,,95%,49%,,,,,,,,,,,,,,,,,,,,,True,ModelProviders,03/01/2025,,,,,,,,64050.0,1650000.0,76.80%,1.0,,,,,,assume thinking since reasoning tokens mentiond in inspect,,,,,,,,,,,,,,,,,,,,,,,10313,1.07E+06,,,1.0,,,,,,53.30%,,53.30%,42732,132.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdSuGgEbnQErengjEboPn62.eval,,,,3.0,15.0,24.94215,6.0
o1 12/01/2024,,,Proprietary,200k,,62,84%,75%,8%,68%,36%,87%,97%,72%,88%,,,,,,,64.9,29.9,48.7,74.1,82.2,44.43,44.43,32.67,39.73,52.08,100.52,52.14,0.0,,ModelProviders,12/01/2024,,,,,,,,51410.0,1258852.0,76.80%,1.0,,,,,,epoch uses o1-high,,,,,,,,,,,,,,,,,,,,,,,8127,487905,,,8.0,8127,487905,,,,73.30%,,73.30%,53772,114.0,,,,,,15.0,60.0,76.30227000000001,26.25
Claude 4 Sonnet (Extended Thinking) 05/01/2025,,Anthropic,Proprietary,200k,,,84.60%,72.10%,8.50%,58.00%,40.00%,,97.50%,,,,,,,,,,,,,,,,,,,,,,True,,05/01/2025,,,,,False,,,512400.0,13896372.0,76.50%,8.0,,,5020000.0,False,,assume extended thinking based on reasoning token,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FJ9wjcQqKJ7hCSYnnoa5E9i.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,35.6603475,6.0
DeepSeek R1 0528 (May '25) 06/01/2025,,DeepSeek,Open,128k,,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,8.0,,,,,,,,108000000.0,7670000.0,97100000.0,0.0,True,True,6800000.0,True,,33.30%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH4X3AsrkcXMTQNKdrAgJe7.eval,,,,,,,,0.14,0.0,,63112,7631782,,,8.0,,,,,,66.40%,,66.40%,,,,,,,,0.5,2.15,4.4007174312499995,0.9125
DeepSeek R1 0528 (May '25) 09/01/2025,,DeepSeek,Open,128k,,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,,,,,True,,09/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,8.0,,,,,,,,108000000.0,7670000.0,97100000.0,0.0,True,True,6800000.0,True,,33.30%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH4X3AsrkcXMTQNKdrAgJe7.eval,,,,,,,,0.14,0.0,,63112,7631782,,,8.0,,,,,,66.40%,,66.40%,,,,,,,,0.46,0.74,1.5287755674999999,0.53
Claude 4 Opus (Extended Thinking) 05/01/2025,,Anthropic,Proprietary,200k,,,87.30%,79.60%,11.70%,63.60%,39.80%,,98.20%,,,,,,,,,,,,,,,,,,,,,,True,,05/01/2025,,,,,False,,,64050.0,443415.0,76.30%,1.0,,,199871.0,False,,is this extended thinking?,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FCtxFusPxCraL3EeRJu2c5k.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,75.0,49.2072,30.0
Claude 4 Sonnet (Extended Thinking) (Option 3) 05/01/2025,,Anthropic,Proprietary,200k,,,84.60%,72.10%,8.50%,58.00%,40.00%,,97.50%,,,,,,,,,,,,,,,,,,,,,,True,,05/01/2025,,,,,False,,,64050.0,606096.0,75.80%,1.0,,,251000.0,False,,assume extended thinking based on reasoning token,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPPLoBnbKQ9CEYZNSk3E7LE.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,13.048589999999999,6.0
GPT-5 mini (high) 08/01/2025,,OpenAI,Proprietary,,,6540.00%,83.70%,82.80%,19.70%,63.60%,39.20%,,,,,,,,,,,,,,,,,,,,,,,,True,,08/01/2025,,,,,,,,411296.0,11795093.0,75.00%,8.0,1792,,,,,epoch specivfeis 08-07 version,,335000000.0,3610000.0,148000000.0,,True,True,2270000.0,True,,59.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FHGLcT8RytVK548aPQ73s7f.eval,,,209809.0,174720.0,92288.0,,30%,0.025,,,64825,2561819,,,8.0,64825,2561819,,,,77.80%,,77.80%,303248,880.0,2.0flash,,,,,0.25,2.0,2.9616262499999997,0.6875
o3-mini 03/01/2025,,,Proprietary,200k,,63,79%,75%,9%,72%,40%,45%,97%,77%,,,,,,,,186.1,75.7,155.4,211.6,295,13.83,13.83,8.93,11.01,17.1,24.78,16.52,0.0,,ModelProviders,03/01/2025,,,,,,,,822544.0,9842434.0,74.30%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.0,,65016,4697771,,,8.0,65016,4697771,,,,76.90%,,76.90%,507246,886.0,2.0flash,,,,,1.1,4.4,2.76321925,1.9250000000000003
Claude 4.5 Sonnet (Non-reasoning) 10/01/2025,claude-4-5-sonnet,Anthropic,Proprietary,,10/25/25,49.6,0.59,0.727,0.071,0.59,0.428,,,,,,0.427,0.513,0.27,0.705,,70.037,,,,,,,,,,,,,,,10/01/2025,,,,,,,,58506.0,141704.0,73.70%,1.0,,,,,,saw no reasoning in inspect assum no reasoning,,36106.0,5300000.0,480000000.0,19200000.0,False,False,,,,64.80%,,no reasoning token correspond to no reasoning model,,,,,,,0.3,6.0,,9053,54702,,,8.0,9053,54702,,,,35.60%,,35.60%,119488,283.0,2.0flash,,,,,3.0,15.0,2.301078,6.0
Claude 4.1 Opus 08/01/2025,,Anthropic,Proprietary,,,4900.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,58506.0,130542.0,73.20%,1.0,,,,,,,,108000.0,5100000.0,462000000.0,18100000.0,False,False,,,,63.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9CTibDqrsrcQzMuFTaCZem.eval,,,,,,,,1.5,18.75,using 5m cache read,"9,053.00","60,024.00",,,8.0,"9,053.00","60,024.00",,,,40.00%,,40.00%,"60,857.00",144.0,2.0flash,,28.48%,,,15.0,75.0,10.668239999999999,30.0
Qwen3 Max 09/01/2025,qwen3-max,Alibaba,Proprietary,,10/25/25,55.1,0.767,0.764,0.111,0.767,0.383,,,,,,0.441,0.467,0.191,0.743,,27.923,,,,,,,,,,,,,True,,09/01/2025,,,,,,,,427392.0,1614310.0,72.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68864,2477907,,,8.0,68864,2477907,,,,73.30%,,73.30%,5199964,1992.0,2.0flash,,,,,1.2,6.0,1.2748413,2.4
GPT-5 mini (medium) 08/01/2025,,OpenAI,Proprietary,,,6370.00%,82.80%,80.30%,14.60%,68.80%,41.00%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,411117.0,4198900.0,71.70%,8.0,"11,264",,3742656.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FCFNzodoTSVVVgp9PUXftUP.eval,286000000.0,4340000.0,206000000.0,0.0,True,True,2720000.0,True,,57.80%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FRRbQkGCVhZCeRDt8kB27TB.eval,,,192951.0,185720.0,100352.0,,40%,0.025,0.0,,64687,2505165,2249280.0,True,8.0,64687,2505165,,,,78.30%,,78.30%,316859,876.0,gemini 2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F65DJZN2XzPw4RGpa4TCfA5.eval,,,,0.25,2.0,1.06257240625,0.6875
Claude 4.5 Haiku (Reasoning) 10/01/2025,claude-4-5-haiku-reasoning,Anthropic,Proprietary,,10/25/25,54.6,0.615,0.672,0.097,0.615,0.433,,,,,,0.543,0.703,0.255,0.547,,43.98,,,,,,,,,,,,,True,,10/01/2025,,,,,,,,64050.0,1810415.0,71.20%,1.0,,,508144.0,True,,epoch mentions 20251001,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGEaAdb9UmoUFbEtBx7WzAR.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,9.116125,2.0
Qwen3 235B A22B (Reasoning) 07/01/2024,,Alibaba,Open,128k,,,82.80%,70.00%,11.70%,62.20%,39.90%,,93.00%,,,,,,,,,,,,,,,,,,,,,,True,,07/01/2024,235.0,22.0,,,True,,,427424.0,11119402.0,70.70%,8.0,,,10600000.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FagebmxGseTvmvN4AHN8i4m.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.6,0.84090079,0.2475
Qwen3 235B A22B (Reasoning) 06/01/2025,,Alibaba,Open,128k,,,82.80%,70.00%,11.70%,62.20%,39.90%,,93.00%,,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,235.0,22.0,,,True,,,427424.0,11119402.0,70.70%,8.0,,,10600000.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FagebmxGseTvmvN4AHN8i4m.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.14433532500000001,0.1
GPT-5 nano (high) 08/01/2025,,OpenAI,Proprietary,,,5470.00%,78.00%,67.60%,8.20%,54.60%,36.60%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,466302.0,19263141.0,69.40%,8.0,1792,,18906880.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F2pSDjMSGDh4HsAxkqUuNQP.eval,,,,,,,,,,,,,,81810.0,270925.0,27776.0,,10%,0.005,,,3.25E+05,1.12E+07,11000000.0,True,8.0,,,,,,81.10%,,81.10%,736964,1936.0,,,,,,0.05,0.4,0.9660714375,0.1375
Claude 4 Opus 05/01/2025,,Anthropic,Proprietary,200k,,,86.00%,70.10%,5.90%,54.20%,40.90%,,94.10%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,58506.0,124053.0,69.20%,1.0,,,,,,assume not extended cause no reasoning,,107000.0,4260000.0,416000000.0,17000000.0,False,False,,,437000000.0,62.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F6fbE9sokzKiRhNPfRnVnZA.eval,,,,,,,,1.5,18.75,,"9,053.00","61,383.00",,,8.0,"9,053.00","61,383.00",,,,42.20%,,42.20%,"62,098.00",142.0,,,,,,15.0,75.0,10.181564999999999,30.0
DeepSeek V3 (Mar' 25) 04/01/2025,,,Open,128k,,53,82%,66%,5%,41%,36%,,94%,52%,,,,,,,,24.7,23.3,24.0,27.5,31.8,3.43,3.43,2.89,3.18,3.77,5.06,23.7,0.0,,ModelProviders,04/01/2025,671.0,37.0,,,True,,,392080.0,1811646.0,67.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63112,1112850,,,8.0,,,,,,37.80%,,37.80%,1278011,1168.0,2.0flash,,,,,0.27,0.8,0.1943973,0.4025
GPT-5 nano (medium) 08/01/2025,,OpenAI,Proprietary,,,5380.00%,77.20%,67.00%,7.60%,60.30%,33.80%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,410759.0,8020000.0,67.40%,8.0,10752,,7710000.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FELAxkvAigvEVdMmhxiaMiy.eval,,,,,,,,,,,,,,78102.0,267516.0,38400.0,,10%,0.005,,,64797,5253843,,,8.0,64797,5253843,,,,74.20%,,74.20%,332267,906.0,2.0flash,,,,,0.05,0.4,0.40356724375,0.1375
Llama 4 Maverick 04/01/2025,,,Open,1m,,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,04/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,8.0,,,,,,assume this is maverick 17B 128E insturct FP8,,,,,,,,,,,,,,,,,,,,,,,64936,4.57E+05,,,8.0,,,,,,20.60%,,20.60%,535136,1292.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGJEpPThqUxXJBSbvkuXVnw.eval,28.48%,,,0.2,0.2,0.045562500000000006,0.2
Llama 4 Maverick 06/01/2025,,,Open,1m,,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,06/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,8.0,,,,,,assume this is maverick 17B 128E insturct FP8,,,,,,,,,,,,,,,,,,,,,,,64936,4.57E+05,,,8.0,,,,,,20.60%,,20.60%,535136,1292.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGJEpPThqUxXJBSbvkuXVnw.eval,28.48%,,,0.15,0.2,0.0430598,0.16249999999999998
