Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,reasoning tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
o3-mini 03/01/2025,,,Proprietary,200k,,63,79%,75%,9%,72%,40%,45%,97%,77%,,,,,,,,186.1,75.7,155.4,211.6,295,13.83,13.83,8.93,11.01,17.1,24.78,16.52,0.0,,ModelProviders,03/01/2025,,,,,,,,822544.0,9842434.0,74.30%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.0,,65016,4697771,,,8.0,65016,4697771,,,,76.90%,,76.90%,507246,886.0,2.0flash,,,,,1.1,4.4,2.59271375,1.9250000000000003
Claude 4.5 Sonnet (Non-reasoning) 10/01/2025,claude-4-5-sonnet,Anthropic,Proprietary,,10/25/25,49.6,0.59,0.727,0.071,0.59,0.428,,,,,,0.427,0.513,0.27,0.705,,70.037,,,,,,,,,,,,,,,10/01/2025,,,,,,,,58506.0,141704.0,73.70%,1.0,,,,,,saw no reasoning in inspect assum no reasoning,,36106.0,5300000.0,480000000.0,19200000.0,False,False,,,,64.80%,,no reasoning token correspond to no reasoning model,,,,,,,0.3,6.0,,9053,54702,,,8.0,9053,54702,,,,35.60%,,35.60%,119488,283.0,2.0flash,,,,,3.0,15.0,0.105961125,6.0
Qwen3 Max 09/01/2025,qwen3-max,Alibaba,Proprietary,,10/25/25,55.1,0.767,0.764,0.111,0.767,0.383,,,,,,0.441,0.467,0.191,0.743,,27.923,,,,,,,,,,,,,True,,09/01/2025,,,,,,,,427392.0,1614310.0,72.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68864,2477907,,,8.0,68864,2477907,,,,73.30%,,73.30%,5199964,1992.0,2.0flash,,,,,1.2,6.0,1.86875985,2.4
GPT-5 mini (medium) 08/01/2025,,OpenAI,Proprietary,,,6370.00%,82.80%,80.30%,14.60%,68.80%,41.00%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,411117.0,4198900.0,71.70%,8.0,"11,264",,3742656.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FCFNzodoTSVVVgp9PUXftUP.eval,286000000.0,4340000.0,206000000.0,0.0,True,True,2720000.0,True,,57.80%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FRRbQkGCVhZCeRDt8kB27TB.eval,,,192951.0,185720.0,100352.0,,40%,0.025,0.0,,64687,2505165,2249280.0,True,8.0,64687,2505165,,,,78.30%,,78.30%,316859,876.0,gemini 2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F65DJZN2XzPw4RGpa4TCfA5.eval,,,,0.25,2.0,0.6283127187499999,0.6875
GPT-5 nano (high) 08/01/2025,,OpenAI,Proprietary,,,5470.00%,78.00%,67.60%,8.20%,54.60%,36.60%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,466302.0,19263141.0,69.40%,8.0,1792,,18906880.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F2pSDjMSGDh4HsAxkqUuNQP.eval,,,,,,,,,,,,,,81810.0,270925.0,27776.0,,10%,0.005,,,3.25E+05,1.12E+07,11000000.0,True,8.0,,,,,,81.10%,,81.10%,736964,1936.0,,,,,,0.05,0.4,0.5620312500000001,0.1375
DeepSeek V3 (Mar' 25) 04/01/2025,,,Open,128k,,53,82%,66%,5%,41%,36%,,94%,52%,,,,,,,,24.7,23.3,24.0,27.5,31.8,3.43,3.43,2.89,3.18,3.77,5.06,23.7,0.0,,ModelProviders,04/01/2025,671.0,37.0,,,True,,,392080.0,1811646.0,67.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63112,1112850,,,8.0,,,,,,37.80%,,37.80%,1278011,1168.0,2.0flash,,,,,0.27,0.8,0.11341503,0.4025
GPT-5 nano (medium) 08/01/2025,,OpenAI,Proprietary,,,5380.00%,77.20%,67.00%,7.60%,60.30%,33.80%,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,410759.0,8020000.0,67.40%,8.0,10752,,7710000.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FELAxkvAigvEVdMmhxiaMiy.eval,,,,,,,,,,,,,,78102.0,267516.0,38400.0,,10%,0.005,,,64797,5253843,,,8.0,64797,5253843,,,,74.20%,,74.20%,332267,906.0,2.0flash,,,,,0.05,0.4,0.26309713125,0.1375
Llama 4 Maverick 04/01/2025,,,Open,1m,,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,04/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,8.0,,,,,,assume this is maverick 17B 128E insturct FP8,,,,,,,,,,,,,,,,,,,,,,,64936,4.57E+05,,,8.0,,,,,,20.60%,,20.60%,535136,1292.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGJEpPThqUxXJBSbvkuXVnw.eval,28.48%,,,0.2,0.2,0.0130484,0.2
Llama 4 Maverick 06/01/2025,,,Open,1m,,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,06/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,8.0,,,,,,assume this is maverick 17B 128E insturct FP8,,,,,,,,,,,,,,,,,,,,,,,64936,4.57E+05,,,8.0,,,,,,20.60%,,20.60%,535136,1292.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGJEpPThqUxXJBSbvkuXVnw.eval,28.48%,,,0.15,0.2,0.012642549999999999,0.16249999999999998
GPT-4.1 04/01/2025,,,Proprietary,1m,,53,81%,67%,5%,46%,38%,,91%,44%,,,,,,,,119.4,42.5,61.0,136.8,151.7,0.43,0.43,0.36,0.39,0.48,0.63,4.62,0.0,,ModelProviders,04/01/2025,,,,,,,,412808.0,1226011.0,66.90%,8.0,8448,,,,,,,302925427.0,1360306.0,201752960.0,0.0,True,True,,,304285733.0,41.00%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FQ6UB2pBAwruHWXCNQvKGVv.eval,,,103558.0,32859.0,45440.0,,,0.5,0.0,,65376,1342210,,,8.0,65376,1342210,,,,38.30%,,38.30%,1514216,1164.0,gemini 2.0flash,,28.48%,,,2.0,8.0,1.3585539999999998,3.5
Claude 4 Sonnet 05/01/2025,,Anthropic,Proprietary,200k,,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,58506.0,136882.0,66.70%,1.0,,,,,,,,115000.0,4580000.0,461000000.0,18600000.0,False,False,,,,60.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FBL9e5eBaVdxVcws6qPwrdh.eval,,,,,,,,0.3,3.75,,9053,61750,,,8.0,9053,61750,,,,28.90%,,28.90%,,,,,,,,3.0,15.0,0.11917612500000001,6.0
DeepSeek R1 01/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,01/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,2.0,2.5,0.15367131250000002,2.125
DeepSeek R1 03/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,03/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,0.55,2.19,0.1334307475,0.96
DeepSeek R1 10/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,10/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,0.7,2.0,0.1220495375,1.025
Claude 3.7 Sonnet 04/01/2025,,,Proprietary,200k,,48,80%,66%,5%,39%,38%,96%,85%,22%,,,,,,,,76.0,49.3,66.8,78.9,81.6,1.12,1.12,0.72,0.89,1.48,2.54,7.7,0.0,,ModelProviders,04/01/2025,,,,,,epoch does notdistinguish claude thinking vs not,,468048.0,927915.0,66.00%,8.0,,,,,,,,77585.0,3125503.0,330964674.0,15537148.0,False,False,,,,52.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FMCv2wDLoTzqMRrN8dATPEv.eval,,,,,,,,0.3,3.75,,144848,1050431,,,16.0,72424,525215.5,,21.90%,51.10%,,,21.90%,1059207,2564.0,,,,,,2.0,8.0,0.5433214999999999,3.5
GPT-4.1 mini 04/01/2025,,,Proprietary,1m,,53,78%,66%,5%,48%,40%,99%,93%,43%,,,,,,,,168.5,78.9,109.2,224.1,263,0.42,0.42,0.28,0.36,0.53,0.68,3.39,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1564579.0,65.80%,8.0,8448,,,,,epoch speciifies 2025-o4-14,,196000000.0,1490000.0,107000000.0,0.0,True,True,,,,32.80%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdD8n3SgLkV3Xse6bbG8mMB.eval,,,50028.0,29713.0,25600.0,,10%,0.1,0.0,,65376,1774741,,,8.0,65376,1774741,,,,44.70%,,44.70%,2005707,1118.0,epoch switched from aime16 to not aime,,,,,0.4,1.6,0.358217,0.7000000000000001
Gemini 2.0 Flash 02/01/2025,,,Proprietary,1m,,48,78%,62%,5%,33%,31%,95%,93%,33%,,,,,,,,242.0,228.9,236.0,255.8,267.4,0.33,0.33,0.26,0.3,0.38,0.41,2.4,0.0,,ModelProviders,02/01/2025,,,,,,,,806400.0,1940000.0,64.10%,16.0,,,,,,,,234994473.0,1407067.0,0.0,0.0,,,,,241401540.0,22.00%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fne2Anciuxh2k3VXGYG4Nqy.eval,,,,,,,,0.0,0.0,,131472,1186729,,,16.0,65736,593364.5,,31.10%,51.10%,,,31.10%,,,,,,,,0.1,0.4,0.030489925000000005,0.17500000000000002
Claude 4.5 Haiku (Non-reasoning) 10/01/2025,claude-4-5-haiku,Anthropic,Proprietary,,10/25/25,41.7,0.511,0.646,0.043,0.511,0.344,,,,,,0.42,0.437,0.255,0.325,,100.607,,,,,,,,,,,,,,,10/01/2025,,,,,,,,468048.0,1132792.0,60.50%,8.0,,,,,,,,5870000.0,5040000.0,465000000.0,19200000.0,False,False,,,,60.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNNRfKgR23F8kXjFh8jin8g.eval,no reasoning token correspond to no reasoning model,,,,,,,0.1,1.25,,72424,453319,,,8.0,72424,453319,,,,35.80%,,35.80%,984170,2262.0,2.0flash,,,,,1.0,5.0,0.292377375,2.0
o1-mini 09/01/2024,,,Proprietary,128k,,54,74%,60%,5%,58%,32%,69%,94%,60%,83%,1308.0,,,,,,214.4,95.3,188.1,227.3,241.2,9.97,9.97,2.29,8.25,11.5,14.52,12.3,0.0,,ModelProviders,09/01/2024,,,,,,epoch has multiple o1 minis,,859744.0,5597033.0,59.50%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67488,3174720,,,8.0,67488,3174720,,,,44.70%,,44.70%,250037,1118.0,this is the medium performance here,,,,,1.1,4.4,1.7553756000000003,1.9250000000000003
Gemini 1.5 Pro (Sep) 11/01/2024,,,Proprietary,2m,,45,75%,59%,5%,32%,30%,74%,88%,23%,85%,1301.0,,,,,,92.9,87.9,90.5,97.2,103.7,0.66,0.66,0.45,0.54,0.87,1.96,6.04,0.0,,ModelProviders,11/01/2024,,,,,,,,809504.0,1379537.0,57.22%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9TrLEEw8TvsyugyCjwvUvD.eval,,,,,,,,,,,,,,,,,,,,,,131472,584898,,,16.0,65736,292449,,23.00%,46.70%,,,23.00%,128877,2548.0,assum 002 is second september one,,,,,1.25,5.0,0.193051875,2.1875
DeepSeek V3 (Dec '24) 01/01/2025,,,Open,128k,,46,75%,56%,4%,36%,35%,,89%,25%,86%,,,,,,,24.5,23.2,23.8,28.3,32,3.24,3.24,2.91,3.11,3.47,4.27,23.68,0.0,,ModelProviders,01/01/2025,671.0,37.0,,,True,,,784176.0,1983134.0,56.50%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126224,1299246,,,16.0,63112,649623,,15.80%,33.30%,,,15.80%,1517509,2652.0,measured feb 25 so before march deepseek ?,,,,,0.25,0.25,0.022272968749999997,0.25
Phi-4 01/01/2025,,,Open,16k,,40,71%,57%,4%,23%,26%,91%,81%,14%,,,,,,,,42.0,36.6,39.0,44.4,45.5,0.47,0.47,0.41,0.44,0.66,1.96,12.37,0.0,,ModelProviders,01/01/2025,14.0,,0.44,113.0,False,,,838784.0,2106559.0,56.10%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131184,831522,,,16.0,65592,415761,,13.80%,37.80%,,,13.80%,968102,2682.0,1.5flash,,,,,0.07,0.14,0.0078497475,0.08750000000000001
DeepSeek R1 Distill Llama 70B 02/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,02/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.75,0.99,0.7661211375,0.81
DeepSeek R1 Distill Llama 70B 03/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,03/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.72,0.99,0.7658806275,0.7875000000000001
DeepSeek R1 Distill Llama 70B 04/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,04/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.54,0.87,0.6723032175,0.6225
