Model,Creator,License,"Context
 Window","Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 43,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,cache_read_gpqa,cache_output_gpqa,reasoning tokens,total_tokens_?,input tokens swe,output tokens swe,cache reads swe,cache write,total,epoch_swe,Unnamed: 58,Unnamed: 59,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD
Kimi K2 09/01/2025,Moonshot AI,Open,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,09/01/2025,,,,,,,,431696.0,2397106.0,54.60%,,,,,301000000.0,2980000.0,,,,16.40%,,,0.5,2.0,5.01006
Magistral Small 06/01/2025,Mistral,Open,128k,,74.60%,64.10%,7.20%,51.40%,24.10%,,0.963,0.713,,,,,,,,,,,,,,,,,True,,06/01/2025,23.6,,0.31,201.0,,On Sheet it is mentioned as GPQA not GPQA diamond Scientific Reasongng,,410520.0,3394051.0,48.40%,,,,,,,,,,,,,0.5,1.5,5.2963365
Qwen3 235B A22B 07/01/2024,Alibaba,Open,128k,,76.20%,61.30%,4.70%,34.30%,29.90%,,90.20%,,,,,,,,,,,,,,,,,,,,07/01/2024,235.0,22.0,,,True,,,427424.0,11119402.0,70.70%,,,10626060.0,11546826.0,,,,,,,,,0.13,0.6,6.72720632
Llama 4 Scout 04/01/2025,,Open,10m,43,75%,59%,4%,30%,17%,,84%,28%,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,04/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,,,,,,,,,,,,,0.1,0.3,0.4858375
Llama 4 Scout 06/01/2025,,Open,10m,43,75%,59%,4%,30%,17%,,84%,28%,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,06/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,,,,,,,,,,,,,0.08,0.1,0.18063266
Llama 4 Maverick 04/01/2025,,Open,1m,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,04/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,,,,,,,,,,,,,0.2,0.2,0.36450000000000005
Llama 4 Maverick 06/01/2025,,Open,1m,51,81%,67%,5%,40%,33%,98%,89%,39%,,,,125.6,60.1,97.5,148.4,795.3,0.44,0.44,0.21,0.32,0.56,0.98,4.42,0.0,,ModelProviders,06/01/2025,402.0,17.0,0.1,858.0,False,,,400432.0,1422068.0,67%,,,,,,,,,,,,,0.15,0.2,0.3444784
Gemma 3 27B 04/01/2025,,Open,128k,38,67%,43%,5%,14%,21%,82%,88%,25%,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,27.4,,0.38,78.0,False,27,,404784.0,1281468.0,48.90%,,,,,,,,,,,,,0.07,0.07,0.11803764
Llama 3.1 8B 07/01/2024,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,07/01/2024,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,0.05,0.08,0.29587863999999997
Llama 3.1 8B 04/01/2025,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,04/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,0.02,0.04,0.14330364
Llama 3.1 8B 09/01/2025,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,09/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,0.01,0.02,0.07165182
DeepSeek R1 01/01/2025,,Open,128k,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,01/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,,,,,,,,,,,,,2.0,2.5,32.232273
DeepSeek R1 03/01/2025,,Open,128k,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,03/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,,,,,,,,,,,,,0.55,2.19,27.764210220000002
DeepSeek R1 Distill Qwen 14B 03/01/2025,,Open,128k,49,74%,48%,4%,38%,24%,90%,95%,67%,,,,102.9,27.1,43.6,140.1,170.2,0.6,20.04,0.28,0.37,0.73,0.91,24.9,19.44,True,ModelProviders,03/01/2025,14.0,,0.28,168.0,True,14,,419512.0,23789803.0,76.80%,,,,,,,,,,,,,0.88,0.88,21.3041972
DeepSeek R1 Distill Llama 70B 02/01/2025,,Open,128k,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,02/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,,,,,,,,,,,,,0.75,0.99,16.00647336
DeepSeek R1 Distill Llama 70B 03/01/2025,,Open,128k,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,03/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,,,,,,,,,,,,,0.72,0.99,15.99408288
DeepSeek R1 Distill Llama 70B 04/01/2025,,Open,128k,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,04/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,,,,,,,,,,,,,0.54,0.87,14.01710832
DeepSeek R1 Distill Llama 70B 07/01/2025,,Open,128k,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,07/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,,,,,,,,,,,,,0.7,0.8,12.973322400000002
Llama 3.3 70B 12/01/2024,,Open,128k,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,12/01/2024,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,,,,,,,,,,,,,0.13,0.4,1.14458696
Llama 3.3 70B 01/01/2025,,Open,128k,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,01/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,,,,,,,,,,,,,0.13,0.39,1.11898553
Phi-4 01/01/2025,,Open,16k,40,71%,57%,4%,23%,26%,91%,81%,14%,,,,42.0,36.6,39.0,44.4,45.5,0.47,0.47,0.41,0.44,0.66,1.96,12.37,0.0,,ModelProviders,01/01/2025,14.0,,0.44,113.0,False,,,838784.0,2106559.0,56.10%,,,,,,,,,,,,,0.07,0.14,0.35363314
Ministral 3B 03/01/2025,,Proprietary,128k,20,34%,26%,6%,7%,9%,93%,54%,0%,,,,217.7,17.9,95.6,237,243.7,0.33,0.33,0.25,0.28,0.51,1.48,2.63,0.0,,ModelProviders,03/01/2025,3.0,,,,,3,,821168.0,1512378.0,25.25%,,,,,,,,,,,,,0.12,0.3,0.55225356
Qwen2.5 72B 10/01/2024,,Open,131k,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,10/01/2024,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,,,,,,,,,,,,,0.35,0.4,1.2452956
Qwen2.5 72B 09/01/2025,,Open,131k,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,09/01/2025,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,,,,,,,,,,,,,0.12,0.39,1.01032293
Mistral Small (Sep '24) 10/01/2024,,Open,33k,27,53%,38%,4%,14%,16%,90%,56%,6%,,,,61.6,8.6,53.5,80.5,96.8,0.55,0.55,0.33,0.36,1.19,2.2,8.66,0.0,,ModelProviders,10/01/2024,22.0,,0.29,84.0,,,,410568.0,784644.0,47.50%,,,,,,,,,,,,,1.0,3.0,2.7645
Qwen2 72B 09/01/2024,,Open,131k,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,09/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,,,,,,,,,,,,,1.79,1.79,3.4334419600000006
Qwen2 72B 11/01/2024,,Open,131k,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,11/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,,,,,,,,,,,,,1.0,1.79,2.7306074000000002
Qwen2 72B 12/01/2024,,Open,131k,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,12/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,,,,,,,,,,,,,0.9,0.9,1.7263116
Qwen2 72B 04/01/2025,,Open,131k,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,04/01/2025,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,,,,,,,,,,,,,0.8,0.8,1.5344992000000002
Llama 3 70B 05/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,05/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,0.59,0.79,1.2850617400000002
Llama 3 70B 07/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,07/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,0.52,0.75,1.1858408599999999
Llama 3 70B 12/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,12/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,0.23,0.4,0.59215984
