Model,Creator,License,"Context
 Window","Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 43,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,cache_read_gpqa,cache_output_gpqa,reasoning tokens,total_tokens_?,input tokens swe,output tokens swe,cache reads swe,cache write swe,total,epoch_swe,Unnamed: 58,Unnamed: 59,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,Notes.1,input tokens AIME,output tokens AIME,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,grader_tokens_input,grader_tokens_output,notes,HAL/GAIA,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
Llama 3.1 70B 07/01/2024,,Open,128k,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,07/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,,,,,,,,,,,,,,,,,,,126112.0,2683151.0,,3.60%,17.80%,,3012832.0,2828.0,1.5,,0.52,0.75,2.0779414899999997,0.5775
Llama 3.1 70B 08/01/2024,,Open,128k,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,08/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,,,,,,,,,,,,,,,,,,,126112.0,2683151.0,,3.60%,17.80%,,3012832.0,2828.0,1.5,,0.35,0.4,1.1173996000000002,0.36249999999999993
Llama 3.1 70B 09/01/2025,,Open,128k,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,09/01/2025,70.0,,,,False,70,,927216.0,2138814.0,44.19%,,,,,,,,,,,,,,,,,,,126112.0,2683151.0,,3.60%,17.80%,,3012832.0,2828.0,1.5,,0.1,0.28,0.7638934800000001,0.14500000000000002
Claude 3 Sonnet 04/01/2024,,Proprietary,200k,28,58%,40%,4%,18%,23%,40%,41%,5%,,1201.0,,60.1,52.3,58.6,61.7,64.8,0.55,0.55,0.49,0.5,0.6,1.14,8.86,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1469042.0,40.59%,,,,,,,,,,,,,,,,,,,144848.0,446822.0,,2.50%,11.10%,,,,,,3.0,15.0,7.136874,6.0
Llama 3 70B 05/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,05/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,,,,,,,134032.0,497151.0,,4.30%,24.40%,,134032.0,497151.0,1.5flash,,0.59,0.79,0.47182817,0.64
Llama 3 70B 07/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,07/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,,,,,,,134032.0,497151.0,,4.30%,24.40%,,134032.0,497151.0,1.5flash,,0.52,0.75,0.44255988999999996,0.5775
Llama 3 70B 09/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,09/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,,,,,,,134032.0,497151.0,,4.30%,24.40%,,134032.0,497151.0,1.5flash,,0.35,0.4,0.24577160000000003,0.36249999999999993
Llama 3 70B 12/01/2024,,Open,8k,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,12/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,,,,,,,,,,,,,,,,,,,134032.0,497151.0,,4.30%,24.40%,,134032.0,497151.0,1.5flash,,0.23,0.4,0.22968776000000002,0.2725
Mistral Large (Feb '24) 05/01/2024,,Proprietary,33k,26,52%,35%,3%,18%,21%,73%,53%,0%,,1157.0,,31.4,18.7,30.2,32.1,32.6,0.56,0.56,0.43,0.46,0.66,1.2,16.5,0.0,,ModelProviders,05/01/2024,,,,,,,,928128.0,1152988.0,38.76%,,,,,,,,,,,,,,,,,,,143152.0,647403.0,,8.50%,35.60%,,,,assume 2402 correspond to feb 24,,4.0,12.0,8.341444000000001,6.0
Claude 3.5 Haiku 10/01/2024,,Proprietary,200k,35,63%,41%,4%,31%,27%,44%,72%,3%,78%,,,65.7,58.1,62.5,67.4,69.4,6.15,6.15,2.33,4.32,7.7,10.23,13.76,0.0,,ModelProviders,10/01/2024,,,,,,,,468048.0,461011.0,38.10%,,,,,,,,,,,,,,,,,,,144848.0,388342.0,,4.30%,26.70%,,441350.0,2818.0,1.5flash,,0.8,4.0,1.6692464,1.6
Claude 3 Haiku 04/01/2024,,Proprietary,200k,,,,,15%,19%,85%,39%,1%,68%,1179.0,,138.3,118.1,132.2,147.5,153.4,0.42,0.42,0.34,0.37,0.47,0.57,4.03,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1092395.0,36.49%,,,,,,,,,,,,,,,,,,,144848.0,410656.0,,1.80%,15.60%,,463530.0,2854.0,1.5flash,,0.25,1.25,0.549532,0.5
Llama 2 Chat 70B 05/01/2024,,Open,4k,,41%,33%,5%,10%,,,32%,,,1093.0,,,,,,,,,,,,,,,,ModelProviders,05/01/2024,70.0,,,,,epoch list this as llama 2 chat 70b hf,,956816.0,1361586.0,26.32%,,,,,,,,,,,,,,,,,,,148464.0,553383.0,,0.00%,0.00%,,587969.0,2880.0,,,0.6,0.8,0.5317848,0.6499999999999999
Llama 3.1 8B 07/01/2024,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,07/01/2024,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,,,,,,,126112.0,3998566.0,,2.50%,4.40%,,4482402.0,2844.0,,,0.05,0.08,0.32619088000000007,0.05750000000000001
Llama 3.1 8B 04/01/2025,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,04/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,,,,,,,126112.0,3998566.0,,2.50%,4.40%,,4482402.0,2844.0,,,0.02,0.04,0.16246488000000003,0.025
Llama 3.1 8B 09/01/2025,,Open,128k,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,09/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,,,,,,,,,,,,,,,,,,,126112.0,3998566.0,,2.50%,4.40%,,4482402.0,2844.0,,,0.01,0.02,0.08123244000000002,0.0125
